2025-02-24 12:08:42,422 - MacroTester - INFO - Visualization initialized (headless: True)
2025-02-24 12:08:42,422 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 12:08:42,422 - MacroTester - INFO - Test mode: Using mock window Test Window
2025-02-24 12:08:45,422 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 12:08:49,839 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 17, 'y': 121, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.839286}
2025-02-24 12:08:49,939 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 17, 'y': 121, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.9395914}
2025-02-24 12:08:49,939 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 7, 'y': 109, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398929.9397902}
2025-02-24 12:08:50,040 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 1, 'y': 98, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.0399928}
2025-02-24 12:08:50,140 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 1, 'y': 98, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.140339}
2025-02-24 12:08:50,140 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 0, 'y': 87, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.1405752}
2025-02-24 12:08:50,240 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 0, 'y': 87, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.2409067}
2025-02-24 12:08:50,241 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 2, 'y': 76, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.2411895}
2025-02-24 12:08:50,341 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 8, 'y': 67, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.341404}
2025-02-24 12:08:50,441 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 18, 'y': 57, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.4416976}
2025-02-24 12:08:50,542 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 32, 'y': 49, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.5420816}
2025-02-24 12:08:50,642 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 50, 'y': 41, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.642499}
2025-02-24 12:08:50,742 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 71, 'y': 34, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.7428322}
2025-02-24 12:08:50,843 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 96, 'y': 27, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.843223}
2025-02-24 12:08:50,943 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 123, 'y': 21, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398930.9435349}
2025-02-24 12:08:51,043 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 154, 'y': 16, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.043848}
2025-02-24 12:08:51,144 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 186, 'y': 11, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.1441495}
2025-02-24 12:08:51,244 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 221, 'y': 7, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.244459}
2025-02-24 12:08:51,344 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 258, 'y': 4, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.3447793}
2025-02-24 12:08:51,445 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 296, 'y': 2, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.4451203}
2025-02-24 12:08:51,546 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 336, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.546253}
2025-02-24 12:08:51,646 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 376, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.6466784}
2025-02-24 12:08:51,747 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 416, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.746968}
2025-02-24 12:08:51,847 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 456, 'y': 0, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398931.8473225}
2025-02-24 12:08:51,947 - MacroTester - DEBUG - Recorded action: {'type': 'scroll', 'x': None, 'y': None, 'button': 'left', 'duration': 0.1, 'scroll_amount': -2, 'key_code': None, 'text': None, 'timestamp': 1740398931.947644}
2025-02-24 12:08:52,048 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 534, 'y': 4, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.0479941}
2025-02-24 12:08:52,148 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 571, 'y': 7, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.1483402}
2025-02-24 12:08:52,248 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 606, 'y': 10, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.2487042}
2025-02-24 12:08:52,349 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 639, 'y': 15, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398932.3490088}
